29,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.45,65,14.03,1261,2493,104,0,-1,-67
30,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.45,64,14.03,1306,2494,104,0,-1,-66
31,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.47,64,14.03,1350,2491,104,0,-1,-66
32,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.49,64,14.05,1396,2493,104,0,-1,-66
33,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.46,63,14.04,1441,2492,104,0,-1,-67
34,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.46,63,14.04,1485,2491,104,0,-1,-67
35,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.47,62,14.04,1527,2492,104,0,-1,-67
36,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.46,62,14.04,1569,2492,104,0,-1,-67
37,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.5,61,14.03,1614,2493,104,0,-1,-66
38,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.48,61,14.03,1658,2485,104,0,-1,-68
39,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.41,60,14.02,1703,2493,104,0,-1,-66
40,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,60,14.01,1769,2492,104,0,-1,-64
41,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.44,59,14.01,1838,2493,104,0,-1,-66
42,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.44,58,13.99,1896,2491,104,0,-1,-66
43,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.46,57,13.97,1961,2491,104,0,-1,-66
44,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,56,13.95,2020,2493,104,0,-1,-65
45,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,55,13.92,2078,2494,104,0,-1,-66
46,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.46,54,13.89,2136,2496,104,0,-1,-66
47,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,53,13.88,2191,2495,104,0,-1,-66
48,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.44,52,13.85,2236,2493,104,0,-1,-67
49,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,51,13.82,2280,2492,104,0,-1,-68
51,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,48,13.76,2361,2492,104,0,-1,-67
52,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,47,13.73,2397,2490,104,0,-1,-65
53,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.45,46,13.7,2432,2491,104,0,-1,-65
54,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.43,46,13.67,2463,2490,104,0,-1,-66
55,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.42,45,13.63,2493,2494,104,0,-1,-67
56,1,0.00000000,0.00000000,0.0,0,0,0,0,1001.44,44,13.59,2518,2483,104,0,-1,-67
