"time";"therm";"temperature";"humidity";"pressure"
;;;;
12:38:29.781;25766;166945;379066;100909
;;;;
12:38:29.985;25542;166945;379285;100909
;;;;
12:38:30.172;25382;166945;381808;10091
;;;;
12:38:30.345;25158;166844;37945;100913
;;;;
12:38:30.530;24950;166844;378188;100911
;;;;
12:38:30.735;24774;166844;382137;10091
;;;;
12:38:30.908;24565;166793;382027;100913
;;;;
12:38:31.096;24341;166844;379011;100913
;;;;
12:38:31.283;24133;166691;381424;100912
;;;;
12:38:31.470;23925;166742;378517;100911
;;;;
12:38:31.660;23717;166691;381753;10091
;;;;
12:38:31.847;23477;166691;382631;100911
;;;;
12:38:32.035;23285;166691;381973;100909
;;;;
12:38:32.222;23093;166742;379011;10091
;;;;
12:38:32.409;22917;166641;381973;100909
;;;;
12:38:32.595;22725;166539;379724;10091
;;;;
12:38:32.799;22533;166641;383234;100909
;;;;
12:38:32.986;22357;166641;379943;100908
;;;;
12:38:33.173;22197;166539;383069;10091
;;;;
12:38:33.361;22021;166539;380437;10091
;;;;
12:38:33.550;21813;166539;381753;100911
;;;;
12:38:33.736;21621;166488;378956;100909
;;;;
12:38:33.923;21397;166488;379998;100908
;;;;
12:38:34.125;21285;166387;381753;100907
;;;;
12:38:34.311;21029;166437;384604;100908
;;;;
12:38:34.499;20853;166437;382356;100909
;;;;
12:38:34.685;20709;166539;381972;100908
;;;;
12:38:34.871;20501;166488;38115;100908
;;;;
12:38:35.059;20356;166437;381972;100909
;;;;
12:38:35.247;20228;166437;384275;100908
;;;;
12:38:35.436;20004;166437;382466;100907
;;;;
12:38:35.622;19908;166285;380821;100911
;;;;
12:38:35.809;19748;166387;38252;100911
;;;;
12:38:36.012;19652;166285;379066;100908
;;;;
12:38:36.199;19492;166336;38444;100906
;;;;
12:38:36.372;19364;166234;383014;100909
;;;;
12:38:36.574;19284;166285;383398;100907
;;;;
12:38:36.748;19156;166285;381753;100904
;;;;
12:38:36.943;19092;166184;38104;100907
;;;;
12:38:37.152;18980;166336;387401;100906
;;;;
12:38:37.340;18868;166234;38614;100905
;;;;
12:38:37.527;18788;166285;38592;100905
;;;;
12:38:37.715;18724;166336;383398;100904
;;;;
12:38:37.901;18628;166336;386085;100908
;;;;
12:38:38.089;18580;166387;385153;100905
;;;;
12:38:38.276;18468;166387;383562;100904
;;;;
12:38:38.463;18388;166387;386688;100905
;;;;
12:38:38.664;18308;166387;382027;100905
;;;;
12:38:38.836;18212;166437;387455;100906
;;;;
12:38:39.040;18148;166336;383727;100901
;;;;
12:38:39.226;18100;166437;386797;100905
;;;;
12:38:39.412;18020;166387;386195;100904
;;;;
12:38:39.599;17972;166437;386852;100904
;;;;
12:38:39.785;17892;166387;38603;100906
;;;;
12:38:39.974;17844;166437;385372;100907
;;;;
12:38:40.163;17796;166437;385975;100907
;;;;
12:38:40.351;17652;166488;386249;100904
;;;;
12:38:40.539;17700;166387;386249;100908
;;;;
12:38:40.727;17588;166437;388881;100906
;;;;
12:38:40.915;17556;166437;385153;100907
;;;;
12:38:41.101;17524;166387;385043;100907
;;;;
12:38:41.288;17380;166488;390142;100906
;;;;
12:38:41.476;17428;166437;383946;100907
;;;;
12:38:41.677;17412;166488;387181;100908
;;;;
12:38:41.864;17332;166387;387127;100909
;;;;
12:38:42.051;17364;166539;385372;100908
;;;;
12:38:42.239;17252;166488;389429;100904
;;;;
12:38:42.427;17204;166488;385153;100905
;;;;
12:38:42.615;17124;166387;3891;100909
;;;;
12:38:42.802;17092;16659;384714;100903
;;;;
12:38:43.005;17140;16659;386798;100905
;;;;
12:38:43.190;16996;166488;387675;100907
;;;;
12:38:43.361;16996;166539;388278;100906
;;;;
12:38:43.566;17092;166488;385811;100904
;;;;
12:38:43.754;16916;166488;388772;100904
;;;;
12:38:43.941;16884;166488;388991;100901
;;;;
12:38:44.127;16820;166539;388771;100904
;;;;
12:38:44.316;16772;166539;386359;100905
;;;;
12:38:44.519;16772;166539;389868;100903
;;;;
12:38:44.706;16724;166437;39058;100904
;;;;
12:38:44.893;16660;166488;38603;100903
;;;;
12:38:45.081;16580;166488;388333;100904
;;;;
12:38:45.282;16516;166437;388113;100907
;;;;
12:38:45.452;16564;166488;38751;100904
;;;;
12:38:45.640;16548;16659;388388;100904
;;;;
12:38:45.843;16484;166488;389922;100903
;;;;
12:38:46.001;16468;16659;389978;100903
;;;;
12:38:46.221;16404;166641;38943;100906
;;;;
12:38:46.407;16420;166539;388223;100907
;;;;
12:38:46.596;16339;16659;389649;100907
;;;;
12:38:46.783;16339;166539;39091;100908
;;;;
12:38:46.971;16291;166539;386359;100908
;;;;
12:38:47.158;16323;16659;390033;100905
;;;;
12:38:47.343;16243;166641;389978;100905
;;;;
12:38:47.530;16243;166641;390855;100906
;;;;
12:38:47.717;16195;166641;390088;100907
;;;;
12:38:47.919;16211;16659;386743;100908
;;;;
12:38:48.105;16179;166641;389594;100906
;;;;
12:38:48.277;16131;166742;391897;100903
;;;;
12:38:48.465;16147;166793;387621;100906
;;;;
12:38:48.652;16051;166742;391404;100905
;;;;
12:38:48.857;16083;166793;389814;100906
;;;;
12:38:49.041;16051;166742;390472;100905
;;;;
12:38:49.229;16051;166793;389978;100904
;;;;
12:38:49.414;16019;166742;391568;100906
;;;;
12:38:49.616;15987;166793;389046;100905
;;;;
12:38:49.805;15971;166844;388224;100903
;;;;
12:38:49.993;15923;166844;387621;100907
;;;;
12:38:50.180;15923;166793;390088;100903
;;;;
12:38:50.365;15875;166844;390198;100902
;;;;
12:38:50.567;15907;166895;388389;100903
;;;;
12:38:50.752;15891;166742;389485;100903
;;;;
12:38:50.956;15859;166844;389759;100905
;;;;
12:38:51.130;15875;166793;388663;100902
;;;;
12:38:51.333;15795;166895;390418;100902
;;;;
12:38:51.520;15827;166996;390857;100901
;;;;
12:38:51.710;15779;167047;391514;100901
;;;;
12:38:51.900;15811;166996;390089;100903
;;;;
12:38:52.088;15731;166945;390911;100903
;;;;
12:38:52.278;15715;166996;389924;100903
;;;;
12:38:52.465;15683;166945;391186;100903
;;;;
