1110,0,78.20236206,15.82891464,-4.1,7,28,25,19,996.53,69,10.68,1375,2505,-68,-3,18,-68
1111,0,78.20236206,15.82889938,-4.3,7,28,26,19,996.581,69,10.68,1380,2504,-72,-9,-25,-63
1112,0,78.20236206,15.82889175,-4.5,7,28,27,19,996.545,69,10.68,1381,2502,-44,-2,0,-64
1113,0,78.20236206,15.82888412,-4.6,7,28,28,19,996.55,69,10.7,1382,2502,-53,-25,-3,-62
1114,0,78.20236206,15.82888031,-4.6,7,28,29,19,996.556,69,10.71,1384,2500,-49,-4,-32,-53
1115,0,78.20236206,15.82887650,-4.3,7,28,30,19,996.552,69,10.71,1382,2505,-50,-1,-30,-54
1116,0,78.20236206,15.82886887,-4.1,7,28,31,19,996.556,69,10.72,1382,2504,-64,-15,-21,-55
1117,0,78.20236206,15.82887268,-4.2,7,28,32,19,996.528,69,10.72,1382,2504,-73,-29,-9,-58
1118,0,78.20236206,15.82888412,-4.4,7,28,33,19,996.57,69,10.73,1382,2502,-32,-36,-29,-54
1119,0,78.20236206,15.82888794,-4.5,7,28,34,18,996.555,69,10.75,1386,2503,-44,-24,-27,-54
1120,0,78.20236206,15.82888031,-4.6,7,28,35,19,996.574,69,10.75,1386,2513,-71,4,-7,-66
1121,0,78.20236206,15.82885361,-4.5,7,28,36,18,996.594,69,10.75,1387,2503,-126,3,-15,-73
1122,0,78.20236206,15.82884598,-4.3,7,28,37,19,996.538,69,10.76,1388,2504,-100,28,-20,-69
1123,0,78.20236206,15.82883072,-4.0,7,28,38,19,996.567,69,10.76,1388,2501,-97,24,-13,-75
1124,0,78.20236206,15.82882309,-3.9,7,28,39,18,996.547,69,10.78,1388,2501,-96,17,-9,-73
1125,0,78.20236206,15.82882309,-3.8,7,28,40,19,996.589,69,10.79,1387,2502,-97,16,-9,-78
1126,0,78.20236206,15.82881927,-3.8,7,28,41,18,996.551,69,10.8,1387,2504,-101,15,-9,-68
1127,0,78.20236206,15.82881546,-3.8,7,28,42,17,996.625,69,10.81,1387,2504,98,24,-7,-66
1128,0,78.20236206,15.82881165,-3.7,7,28,43,18,996.702,69,10.81,1388,2501,25,3,-14,-59
1129,0,78.20236206,15.82883072,-3.8,7,28,44,19,996.548,69,10.82,1385,2501,3,12,-16,-62
1130,0,78.20236206,15.82883835,-3.9,7,28,45,19,996.684,69,10.84,1384,2503,31,8,-11,-63
1131,0,78.20236206,15.82887268,-4.1,7,28,46,19,996.675,69,10.84,1384,2502,95,5,0,-59
1132,0,78.20236206,15.82889175,-4.0,7,28,47,19,996.578,69,10.84,1383,2503,-94,11,-3,-75
