packetnr,hk,lat,lon,alt,hh,mm,ss,nsat,p,H,T,ntc,bat,yaw,pitch,roll,rssi
477,0,78.14773560,16.04070282,516.6,12,27,50,13,952.225,100,11.28,1531,2468,-53,-17,-69,-60
478,0,78.14773560,16.04074860,516.5,12,27,51,13,952.246,100,11.28,1532,2467,-54,-17,-69,-62
479,0,78.14773560,16.04076385,516.4,12,27,52,13,952.204,100,11.3,1539,2467,-49,-21,-66,-59
480,0,78.14773560,16.04076385,516.4,12,27,53,12,952.175,100,11.3,1547,2466,-52,-19,-66,-50
481,0,78.14773560,16.04076385,516.4,12,27,54,13,952.191,100,11.31,1546,2467,-81,-11,-68,-61
482,0,78.14773560,16.04077911,516.2,12,27,55,14,952.208,100,11.33,1545,2468,-92,-6,-66,-66
483,0,78.14773560,16.04077148,516.0,12,27,56,14,952.175,100,11.33,1545,2469,-51,-21,-66,-52
484,0,78.14773560,16.04076385,515.9,12,27,57,14,952.201,100,11.34,1548,2474,-58,-32,-66,-61
485,0,78.14770508,16.04076385,515.7,12,27,58,14,952.144,100,11.36,1549,2460,-80,-27,-57,-50
486,0,78.14770508,16.04077911,515.6,12,27,59,14,952.188,100,11.37,1550,2466,-76,-10,-71,-57
487,0,78.14770508,16.04078674,515.6,12,28,0,14,952.18,100,11.37,1570,2466,-48,-18,-80,-59
488,0,78.14770508,16.04078674,515.6,12,28,1,14,952.186,100,11.36,1600,2467,-33,-24,-85,-73
489,0,78.14770508,16.04078674,515.8,12,28,2,13,952.15,100,11.36,1633,2466,-56,-21,-77,-67
490,0,78.14770508,16.04079437,515.8,12,28,3,13,952.187,100,11.35,1666,2467,-48,-19,-82,-75
491,0,78.14770508,16.04079437,515.9,12,28,4,14,952.171,100,11.31,1696,2467,-34,-19,-82,-71
492,0,78.14767456,16.04077911,516.3,12,28,5,16,952.183,100,11.24,1724,2466,-20,-18,-85,-70
493,0,78.14767456,16.04079437,516.6,12,28,6,16,952.189,100,11.23,1746,2468,-19,-17,-78,-76
494,0,78.14767456,16.04081726,516.7,12,28,7,16,952.243,100,11.16,1772,2465,-10,-11,-80,-82
495,0,78.14764404,16.04083252,516.9,12,28,8,16,952.231,100,11.18,1796,2466,-50,-22,-82,-77
496,0,78.14764404,16.04085541,517.0,12,28,9,14,952.251,100,11.18,1811,2469,-103,-23,-89,-75
497,0,78.14764404,16.04084778,517.0,12,28,10,16,952.216,100,11.19,1824,2469,101,-10,-82,-87
498,0,78.14764404,16.04085541,517.1,12,28,11,16,952.211,100,11.19,1834,2469,125,-14,-89,-73
499,0,78.14764404,16.04086304,517.1,12,28,12,16,952.25,100,11.19,1843,2470,-104,-16,-76,-78
500,0,78.14764404,16.04086304,517.1,12,28,13,16,952.226,100,11.19,1852,2469,-96,-19,-78,-81
501,0,78.14764404,16.04085541,517.1,12,28,14,16,952.232,100,11.19,1860,2470,-117,-20,-65,-77
502,0,78.14764404,16.04086304,517.1,12,28,15,16,952.238,100,11.18,1869,2470,-119,-22,-62,-79
503,0,78.14764404,16.04085541,517.1,12,28,16,16,952.249,100,11.18,1876,2467,-115,-20,-71,-86
