packetnr,hk,lat,lon,alt,hh,mm,ss,nsat,p,H,T,ntc,bat,yaw,pitch,roll,rssi
1107,0,78.14776611,16.04091644,512.8,10,43,10,17,950.74,65,11.15,1675,2505,11,-53,84,-42
1108,0,78.14776611,16.04090881,512.7,10,43,11,17,950.757,65,11.16,1676,2504,9,-52,80,-43
1109,0,78.14776611,16.04089355,512.7,10,43,12,17,950.749,65,11.17,1677,2503,-2,-53,79,-43
1110,0,78.14776611,16.04087067,512.7,10,43,13,17,950.719,65,11.17,1682,2519,-23,-28,-98,-46
1111,0,78.14776611,16.04087830,512.7,10,43,14,17,950.76,65,11.18,1688,2504,99,-40,-30,-48
1112,0,78.14776611,16.04086304,512.6,10,43,15,17,950.727,65,11.19,1690,2505,70,-56,8,-48
1113,0,78.14776611,16.04087830,512.7,10,43,16,17,950.751,65,11.2,1688,2504,122,20,-78,-50
1114,0,78.14776611,16.04087067,512.6,10,43,17,17,950.79,65,11.25,1680,2505,62,54,-116,-56
1115,0,78.14776611,16.04084778,512.9,10,43,18,17,950.796,65,11.26,1671,2505,35,53,-119,-66
1116,0,78.14776611,16.04082489,513.1,10,43,19,17,950.779,65,11.26,1663,2506,-123,38,-88,-49
1117,0,78.14776611,16.04080963,513.2,10,43,20,17,950.746,65,11.29,1660,2505,-81,-4,-98,-48
1118,0,78.14776611,16.04083252,513.1,10,43,21,17,950.725,65,11.29,1659,2506,-60,-8,-108,-49
1119,0,78.14776611,16.04080963,513.2,10,43,22,16,950.734,64,11.29,1667,2505,-54,0,-105,-60
1120,0,78.14773560,16.04080200,513.2,10,43,23,16,950.717,63,11.29,1684,2501,-68,-13,-101,-55
1121,0,78.14773560,16.04081726,513.3,10,43,24,17,950.707,62,11.32,1696,2508,-62,-17,-107,-58
1122,0,78.14773560,16.04077911,513.2,10,43,25,17,950.733,61,11.35,1710,2502,-65,-13,-111,-61
1123,0,78.14770508,16.04080200,513.6,10,43,26,16,950.732,61,11.37,1723,2504,-61,-11,-113,-62
1124,0,78.14770508,16.04080963,514.0,10,43,27,17,950.742,61,11.39,1735,2503,-38,-6,-114,-69
1125,0,78.14770508,16.04085541,514.4,10,43,28,17,950.79,60,11.4,1746,2504,-29,2,-105,-62
1126,0,78.14767456,16.04090881,514.8,10,43,29,17,950.808,60,11.41,1755,2504,-24,1,-100,-64
1127,0,78.14767456,16.04093170,515.0,10,43,30,16,950.817,59,11.44,1760,2504,-69,-13,-103,-68
1128,0,78.14767456,16.04093933,515.0,10,43,31,17,950.797,59,11.46,1764,2503,-85,-18,-106,-65
1129,0,78.14767456,16.04094696,515.0,10,43,32,17,950.842,59,11.49,1770,2503,-90,-19,-115,-67
1130,0,78.14764404,16.04095459,515.1,10,43,33,16,950.767,59,11.5,1769,2508,-79,-31,121,-63
1131,0,78.14767456,16.04093933,515.2,10,43,34,16,950.807,60,11.52,1765,2504,-61,-30,118,-65
1132,0,78.14764404,16.04094696,515.1,10,43,35,17,950.773,60,11.52,1759,2505,-66,-26,126,-72
1133,0,78.14764404,16.04094696,515.0,10,43,36,17,950.784,60,11.53,1752,2505,-63,-27,-126,-83
1134,0,78.14764404,16.04094696,515.1,10,43,37,17,950.809,60,11.55,1730,2503,-41,-30,117,-66
1135,0,78.14764404,16.04094696,515.1,10,43,38,17,950.792,60,11.58,1702,2505,-18,-5,43,-72
1136,0,78.14764404,16.04094696,515.1,10,43,39,17,950.817,60,11.6,1676,2503,-19,-10,58,-64
1137,0,78.14764404,16.04094696,515.1,10,43,40,17,950.838,60,11.63,1639,2505,-16,-22,60,-68
1138,0,78.14764404,16.04096222,515.1,10,43,41,17,950.815,60,11.62,1606,2505,-10,-23,37,-74
1139,0,78.14764404,16.04097748,515.1,10,43,42,17,950.829,61,11.62,1570,2511,-7,-22,37,-72
1140,0,78.14764404,16.04097748,515.0,10,43,43,17,950.821,61,11.63,1571,2502,-4,-23,36,-73
1141,0,78.14764404,16.04098511,515.0,10,43,44,17,950.848,61,11.63,1575,2505,-4,-23,37,-76
1142,0,78.14764404,16.04097748,515.0,10,43,45,17,950.83,62,11.62,1587,2505,-5,-23,37,-72
1143,0,78.14764404,16.04099274,515.0,10,43,46,17,950.874,62,11.62,1604,2505,2,0,35,-80
1144,0,78.14764404,16.04099274,514.9,10,43,47,17,950.861,63,11.62,1624,2504,22,35,25,-68
1145,0,78.14764404,16.04100800,514.5,10,43,48,17,950.908,63,11.63,1640,2504,3,60,1,-76
1146,0,78.14764404,16.04100800,514.5,10,43,49,17,950.922,63,11.63,1649,2504,0,61,-2,-79
1147,0,78.14764404,16.04101563,514.6,10,43,50,17,950.938,63,11.63,1659,2504,107,59,109,-76
1148,0,78.14764404,16.04100037,514.6,10,43,51,17,950.926,63,11.63,1666,2504,106,58,108,-75
1149,0,78.14764404,16.04099274,514.6,10,43,52,17,950.96,63,11.63,1673,2505,105,58,108,-77
1150,0,78.14764404,16.04097748,514.6,10,43,53,17,950.939,63,11.63,1679,2503,105,58,107,-75
1151,0,78.14764404,16.04097748,514.6,10,43,54,16,950.939,63,11.63,1685,2504,105,58,107,-72
1152,0,78.14764404,16.04098511,514.6,10,43,55,15,950.931,64,11.62,1689,2504,105,58,107,-81
1153,0,78.14764404,16.04097748,514.6,10,43,56,13,950.941,64,11.62,1692,2504,105,58,107,-72
1154,0,78.14764404,16.04098511,514.6,10,43,57,14,950.925,64,11.61,1695,2502,105,58,107,-71
1155,0,78.14764404,16.04098511,514.8,10,43,58,14,950.933,64,11.61,1697,2504,105,58,107,-70
1156,0,78.14764404,16.04097748,515.0,10,43,59,14,950.947,64,11.61,1698,2503,105,58,107,-71
1157,0,78.14764404,16.04097748,515.3,10,44,0,13,950.94,64,11.61,1700,2505,105,58,107,-73
1158,0,78.14764404,16.04097748,515.2,10,44,1,14,950.966,64,11.61,1702,2502,105,58,107,-72
1159,0,78.14764404,16.04097748,515.2,10,44,2,14,950.937,64,11.6,1704,2502,105,58,107,-72
1160,0,78.14764404,16.04097748,515.1,10,44,3,15,950.946,64,11.59,1705,2505,105,58,107,-74
