packetnr,hk,lat,lon,alt,hh,mm,ss,nsat,p,H,T,ntc,bat,yaw,pitch,roll,rssi
386,0,78.14770508,16.04064178,514.1,10,31,8,15,950.776,62,17.92,1277,2519,-52,-21,-26,-46
387,0,78.14770508,16.04064178,514.1,10,31,9,17,950.775,62,17.92,1282,2518,-50,-20,-29,-45
388,0,78.14770508,16.04063416,514.1,10,31,10,17,950.767,62,17.92,1283,2518,-54,-6,-17,-43
389,0,78.14770508,16.04064178,514.1,10,31,11,17,950.76,62,17.92,1280,2519,-29,17,21,-48
390,0,78.14770508,16.04064941,514.1,10,31,12,18,950.722,63,17.92,1243,2517,-7,23,43,-52
391,0,78.14770508,16.04064178,514.1,10,31,13,18,950.739,63,17.91,1204,2516,-10,24,42,-51
392,0,78.14770508,16.04061890,514.1,10,31,14,18,950.731,63,17.9,1184,2520,-10,16,43,-48
393,0,78.14770508,16.04059601,514.0,10,31,15,18,950.707,62,17.89,1199,2519,-11,12,55,-48
394,0,78.14770508,16.04058838,514.1,10,31,16,18,950.685,62,17.88,1212,2521,-13,9,56,-47
395,0,78.14770508,16.04058075,514.1,10,31,17,18,950.713,62,17.88,1222,2521,-7,0,59,-43
396,0,78.14770508,16.04057312,514.1,10,31,18,16,950.735,62,17.87,1223,2521,-11,14,57,-43
397,0,78.14770508,16.04058075,514.1,10,31,19,16,950.722,62,17.86,1223,2521,-35,15,58,-44
398,0,78.14770508,16.04058838,514.0,10,31,20,17,950.714,61,17.86,1221,2521,-41,1,64,-42
399,0,78.14773560,16.04058838,514.0,10,31,21,17,950.7,61,17.85,1220,2519,-49,7,58,-42
400,0,78.14773560,16.04058075,514.0,10,31,22,15,950.726,61,17.85,1217,2519,-43,-15,86,-43
401,0,78.14773560,16.04058075,514.0,10,31,23,15,950.721,60,17.85,1184,2520,-36,-18,83,-42
402,0,78.14773560,16.04058075,514.0,10,31,24,14,950.708,60,17.84,1189,2520,-1,-6,70,-44
403,0,78.14773560,16.04056549,514.3,10,31,25,13,950.748,60,17.85,1180,2519,-5,-2,47,-41
404,0,78.14773560,16.04053497,514.3,10,31,26,15,950.774,60,17.84,1175,2520,6,-4,35,-41
405,0,78.14773560,16.04053497,514.3,10,31,27,16,950.742,60,17.84,1164,2519,1,8,34,-44
406,0,78.14773560,16.04055786,514.4,10,31,28,16,950.689,60,17.84,1147,2519,-19,18,42,-48
407,0,78.14776611,16.04056549,514.4,10,31,29,16,950.675,59,17.84,1163,2520,-34,16,44,-45
408,0,78.14776611,16.04055786,514.4,10,31,30,16,950.71,59,17.84,1164,2519,-45,18,40,-45
409,0,78.14773560,16.04054260,514.5,10,31,31,16,950.708,58,17.83,1149,2517,-56,25,-25,-57
410,0,78.14773560,16.04055023,514.5,10,31,32,16,950.742,58,17.83,1151,2529,-60,32,-26,-54
