packetnr,hk,lat,lon,alt,hh,mm,ss,nsat,p,H,T,ntc,bat,yaw,pitch,roll,rssi
2218,0,78.14776611,16.04067230,509.4,11,1,42,18,951.036,62,13.55,1435,2492,32,-23,3,-56
2219,0,78.14776611,16.04067993,509.4,11,1,43,17,951.041,62,13.59,1442,2494,33,-20,2,-53
2220,0,78.14776611,16.04069519,509.4,11,1,44,17,951.061,62,13.62,1447,2492,25,-17,0,-44
2221,0,78.14776611,16.04071808,509.8,11,1,45,17,951.005,62,13.67,1452,2496,24,-17,-8,-51
2222,0,78.14776611,16.04072571,510.2,11,1,46,16,950.996,62,13.67,1450,2496,18,-22,-9,-49
2223,0,78.14776611,16.04071045,510.1,11,1,47,17,951.043,62,13.68,1445,2494,18,-20,-4,-68
2224,0,78.14776611,16.04071045,510.3,11,1,48,18,951.022,62,13.72,1440,2495,35,-8,0,-50
2225,0,78.14776611,16.04073334,510.3,11,1,49,18,951.023,62,13.75,1426,2487,42,-4,0,-52
2226,0,78.14776611,16.04072571,510.3,11,1,50,17,950.992,62,13.78,1418,2496,-7,-11,0,-54
2227,0,78.14776611,16.04071808,510.4,11,1,51,18,950.972,62,13.77,1413,2497,-8,-14,5,-58
2228,0,78.14776611,16.04072571,510.5,11,1,52,18,950.977,62,13.8,1406,2495,-9,-17,14,-58
2229,0,78.14776611,16.04074097,510.6,11,1,53,18,951.011,62,13.85,1406,2495,17,-25,9,-58
2230,0,78.14776611,16.04071808,510.8,11,1,54,18,951.029,62,13.95,1441,2495,43,-19,1,-65
2231,0,78.14773560,16.04070282,510.8,11,1,55,17,951.04,62,13.98,1469,2496,22,-17,-2,-67
2232,0,78.14770508,16.04071808,510.8,11,1,56,17,951.058,62,14.02,1490,2492,8,-24,15,-82
2233,0,78.14770508,16.04077148,511.1,11,1,57,18,951.059,62,14.08,1503,2495,15,-30,20,-78
2234,0,78.14767456,16.04083252,511.6,11,1,58,18,951.052,61,14.17,1514,2491,49,-27,1,-80
2235,0,78.14767456,16.04088593,512.1,11,1,59,19,951.094,61,14.22,1526,2497,50,-31,14,-91
2236,0,78.14764404,16.04091644,512.5,11,2,0,19,951.087,60,14.28,1538,2495,28,-22,10,-80
2237,0,78.14764404,16.04093170,512.8,11,2,1,18,951.079,59,14.3,1560,2496,7,-22,6,-79
2238,0,78.14764404,16.04094696,513.2,11,2,2,18,951.064,59,14.3,1589,2497,-14,-23,3,-65
2239,0,78.14764404,16.04095459,513.2,11,2,3,18,951.063,59,14.26,1596,2493,-11,-28,0,-64
2240,0,78.14764404,16.04096222,513.1,11,2,4,18,951.09,59,14.25,1618,2496,-11,-31,9,-65
2241,0,78.14764404,16.04096222,513.1,11,2,5,18,951.043,58,14.24,1641,2497,-19,-19,11,-64
2242,0,78.14764404,16.04096222,513.1,11,2,6,18,951.049,58,14.22,1659,2496,-23,-14,12,-66
2243,0,78.14764404,16.04096222,513.1,11,2,7,18,951.054,58,14.2,1674,2503,-21,-12,11,-68
2244,0,78.14764404,16.04094696,513.0,11,2,8,18,951.029,58,14.19,1686,2501,-28,-9,14,-67
2245,0,78.14764404,16.04094696,513.1,11,2,9,18,951.044,57,14.17,1696,2497,-26,-13,9,-70
2246,0,78.14764404,16.04095459,513.3,11,2,10,18,951.048,57,14.17,1705,2496,-25,-15,1,-75
2247,0,78.14764404,16.04094696,513.2,11,2,11,18,951.059,56,14.16,1717,2496,-29,-11,-9,-74
2248,0,78.14764404,16.04094696,513.0,11,2,12,18,951.05,56,14.15,1714,2496,-17,-16,-10,-71
2249,0,78.14764404,16.04094696,513.0,11,2,13,18,951.073,56,14.14,1678,2495,-19,-17,8,-68
2250,0,78.14764404,16.04094696,513.0,11,2,14,18,951.064,56,14.13,1645,2495,-4,-22,25,-62
2251,0,78.14764404,16.04094696,513.0,11,2,15,18,951.072,56,14.1,1637,2497,-3,-22,23,-66
2252,0,78.14764404,16.04094696,512.9,11,2,16,18,951.07,56,14.08,1657,2496,12,-21,24,-65
2253,0,78.14764404,16.04095459,512.9,11,2,17,18,951.094,56,14.05,1665,2499,15,-21,23,-66
2254,0,78.14764404,16.04095459,512.8,11,2,18,18,951.033,56,14.02,1669,2504,12,-20,24,-65
2255,0,78.14764404,16.04095459,512.8,11,2,19,18,951.069,56,13.99,1673,2497,13,-20,24,-65
2256,0,78.14764404,16.04095459,512.9,11,2,20,18,951.087,57,13.97,1676,2496,22,4,25,-66
2257,0,78.14764404,16.04094696,512.9,11,2,21,18,951.14,57,13.94,1687,2496,26,48,14,-63
2258,0,78.14764404,16.04095459,512.9,11,2,22,18,951.172,58,13.92,1698,2494,76,61,68,-74
