packetnr,hk,lat,lon,alt,hh,mm,ss,nsat,p,H,T,ntc,bat,yaw,pitch,roll,rssi
25,0,78.14767456,16.04097748,512.8,8,56,31,14,949.071,62,8.66,1737,2504,-105,-3,-57,-68
26,0,78.14767456,16.04099274,512.8,8,56,32,14,949.069,61,8.63,1757,2505,-33,-29,-64,-64
27,0,78.14767456,16.04096985,512.8,8,56,33,15,949.085,61,8.63,1773,2506,-19,-20,-91,-63
28,0,78.14767456,16.04096222,512.5,8,56,34,15,949.066,61,8.62,1779,2504,-31,-18,-77,-62
29,0,78.14767456,16.04094696,512.6,8,56,35,15,949.084,60,8.6,1793,2507,-77,-28,-70,-64
30,0,78.14767456,16.04094696,512.6,8,56,36,15,949.1,60,8.59,1807,2506,-99,-18,-84,-66
31,0,78.14767456,16.04094696,512.6,8,56,37,15,949.072,60,8.57,1819,2505,-103,-31,-85,-63
32,0,78.14764404,16.04093933,512.4,8,56,38,15,949.053,59,8.57,1830,2506,-93,-28,-121,-64
33,0,78.14764404,16.04093933,512.2,8,56,39,15,949.088,59,8.57,1834,2506,-86,-24,-124,-62
34,0,78.14764404,16.04093170,511.8,8,56,40,16,949.068,59,8.56,1839,2506,-95,-23,-122,-60
35,0,78.14764404,16.04093933,511.7,8,56,41,16,949.111,59,8.54,1842,2506,-93,-8,-111,-73
36,0,78.14764404,16.04094696,511.7,8,56,42,16,949.121,59,8.53,1841,2503,-103,-21,-118,-79
37,0,78.14764404,16.04095459,511.7,8,56,43,16,949.097,59,8.5,1839,2507,-80,-28,-113,-66
38,0,78.14764404,16.04095459,511.8,8,56,44,16,949.12,58,8.47,1835,2509,-55,-42,122,-60
39,0,78.14764404,16.04095459,511.8,8,56,45,16,949.095,58,8.44,1835,2502,32,-14,46,-81
40,0,78.14767456,16.04095459,511.9,8,56,46,16,949.075,58,8.43,1832,2504,35,9,97,-74
41,0,78.14767456,16.04094696,511.9,8,56,47,16,949.098,58,8.41,1831,2504,16,9,46,-68
42,0,78.14767456,16.04093170,512.0,8,56,48,16,949.106,57,8.39,1831,2502,8,10,21,-64
43,0,78.14767456,16.04093170,512.0,8,56,49,16,949.119,57,8.37,1831,2501,8,18,21,-64
44,0,78.14767456,16.04093170,512.1,8,56,50,16,949.126,57,8.35,1828,2504,5,6,39,-67
45,0,78.14767456,16.04093170,512.1,8,56,51,16,949.101,57,8.31,1825,2504,14,18,44,-65
46,0,78.14767456,16.04093170,512.2,8,56,52,16,949.169,57,8.28,1825,2503,10,13,53,-68
47,0,78.14767456,16.04092407,512.4,8,56,53,16,949.102,57,8.2,1828,2504,13,11,61,-66
48,0,78.14767456,16.04092407,512.5,8,56,54,16,949.118,57,8.18,1829,2502,9,9,77,-68
49,0,78.14767456,16.04092407,512.6,8,56,55,16,949.055,57,8.15,1828,2503,-5,-1,58,-69
50,0,78.14767456,16.04092407,512.6,8,56,56,16,949.098,57,8.12,1816,2504,6,-14,70,-78
51,0,78.14767456,16.04093170,512.6,8,56,57,15,949.077,57,8.11,1817,2505,7,-11,56,-80
52,0,78.14767456,16.04091644,512.6,8,56,58,16,949.044,57,8.1,1818,2504,4,-10,43,-78
53,0,78.14767456,16.04090881,512.6,8,56,59,16,949.021,57,8.06,1811,2501,0,-11,39,-73
54,0,78.14767456,16.04090881,512.5,8,57,0,15,949.062,57,8.04,1809,2502,2,-7,39,-73
55,0,78.14767456,16.04090881,512.5,8,57,1,15,949.056,57,8.02,1806,2501,4,-7,39,-77
